StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q15,FL_6_DO
3/21/2020 17:21,3/21/2020 17:31,IP Address,73.150.86.246,100,587,TRUE,3/21/2020 17:31,R_3QSzkJ8Cm9XiNhf,,,,,40.64120483,-74.90879822,anonymous,EN,Bij,Fep,Iku,,,,,,,,Fij,Bik,Nuf,Mva,Adf,,,,,Mag,58,Female,,Currently attending or completed graduate study,,No,Yes,Extremely familiar,,Block4
3/21/2020 17:56,3/21/2020 17:59,IP Address,73.150.86.246,100,217,TRUE,3/21/2020 17:59,R_78ayJzIBjDwqA5r,,,,,40.64120483,-74.90879822,anonymous,EN,bej,map,jih,fep,,,,,,,maf,haj,faj,biw,muf,,,,,,22,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Moderately familiar,,Block4
3/21/2020 19:49,3/21/2020 19:53,IP Address,73.220.205.236,100,239,TRUE,3/21/2020 19:53,R_3iszebaGMUXwFLq,,,,,38.02960205,-121.3460007,anonymous,EN,bej,mup,,,,,,,,,biw,nuv,dej,nij,,,,,,,20,Female,,Currently attending or completed college,,Yes: only an introductory class,Yes,Very familiar,,Block1
3/21/2020 10:36,3/21/2020 20:15,IP Address,73.189.145.133,100,34730,TRUE,3/21/2020 20:15,R_1hzfAv1cTZJ15Tv,,,,,37.84869385,-122.2209015,anonymous,EN,hij,fep,duj,,,,,,,,biw,,,,,,,,,,49,Female,,Currently attending or completed graduate study,,No,Yes,Slightly familiar,,Block4
3/22/2020 11:34,3/22/2020 11:37,IP Address,70.181.198.108,100,220,TRUE,3/22/2020 11:37,R_6VfFjsAZT0bO7Nn,,,,,33.21090698,-117.2232056,anonymous,EN,Bej,Koj,Fub,Jih,,,,,,,Jid,Biw,Feh,Doj,,,,,,,19,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Extremely familiar,,Block1
3/22/2020 17:30,3/22/2020 17:39,IP Address,98.234.51.115,100,513,TRUE,3/22/2020 17:39,R_31dE1NvcTzIAxVe,,,,,37.2808075,-121.9571991,anonymous,EN,BEJ,,,,,,,,,,MAF,BUV,,,,,,,,,51,Female,,Currently attending or completed college,,Yes: only an introductory class,No,Not familiar at all,,Block1
3/24/2020 15:31,3/24/2020 15:34,IP Address,73.225.173.237,100,157,TRUE,3/24/2020 15:34,R_3PQQpHLdXCyKVYU,,,,,47.61309814,-122.2052994,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block4
3/27/2020 15:10,3/27/2020 15:12,IP Address,108.20.177.47,100,124,TRUE,3/27/2020 15:12,R_3OkRgio0PbPalGk,,,,,42.31039429,-71.27410126,anonymous,EN,fep,jeb,naf,buw,,,,,,jih,faj,nav,huv,biw,,,,,,,18,Female,,Currently attending or completed college,,Yes: only an introductory class,Yes,Very familiar,,Block1
3/23/2020 20:00,3/29/2020 14:43,IP Address,75.80.188.51,100,499347,TRUE,3/29/2020 14:43,R_26bFVaoNRCiJlzk,,,,,32.96609497,-117.1202011,anonymous,EN,fep,buw,bej,mep,jij,jix,fij,,,,biw,muj,dej,kaf,,kef,,,,maf,19,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Extremely familiar,,Block1
4/15/2020 13:40,4/15/2020 13:45,IP Address,136.152.143.166,100,330,TRUE,4/15/2020 13:45,R_1oAuZfsn56bgBnQ,,,,,37.87359619,-122.2570038,anonymous,EN,fep,jex,jih,bsw,fup,,,,,,maf,foj,kiv,dej,bih,,,,,,25,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Extremely familiar,,Block4
